timestamp,class name,accuracy,CV Fold,# of lines,# trained,date time,train time,predict time,total time,
20170221_172057,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,10,0,0,0.015,0.0,0.063,0.078,
20170221_172057,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,68.66666666666667,10,0,0,0.015,0.0,0.016,0.031,
20170221_172057,weka.classifiers.bayes.NaiveBayesUpdateable,96.0,10,0,0,0.015,0.0,0.063,0.078,
20170221_172148,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.249,0.0,0.016,1.2650000000000001,
20170221_172149,weka.classifiers.bayes.NaiveBayes,96.0,10,0,0,0.016,0.0,0.109,0.125,
20170221_172150,weka.classifiers.bayes.NaiveBayesMultinomial,95.33333333333333,10,0,0,0.016,0.0,0.031,0.047,
20170221_172150,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,10,0,0,0.016,0.0,0.062,0.078,
20170221_172150,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,68.66666666666667,10,0,0,0.016,0.0,0.062,0.078,
20170221_172150,weka.classifiers.bayes.NaiveBayesUpdateable,96.0,10,0,0,0.016,0.0,0.078,0.094,
20170221_172156,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.202,0.0,0.0,1.202,
20170221_172157,weka.classifiers.bayes.NaiveBayes,96.0,10,0,0,0.016,0.0,0.093,0.109,
20170221_172157,weka.classifiers.bayes.NaiveBayesMultinomial,95.33333333333333,10,0,0,0.015,0.0,0.032,0.047,
20170221_172158,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,10,0,0,0.031,0.0,0.047,0.078,
20170221_172158,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,68.66666666666667,10,0,0,0.0,0.0,0.031,0.031,
20170221_172158,weka.classifiers.bayes.NaiveBayesUpdateable,96.0,10,0,0,0.015,0.0,0.078,0.093,
20170222_144908,smile.classification.NaiveBayes,0.0,0,0,149,0.093,-0.001,33.884,33.976,
20170222_145155,smile.classification.NaiveBayes,0.0,0,0,149,0.047,-0.001,34.134,34.18,
20170222_145456,smile.classification.NaiveBayes,0.0,0,0,149,0.047,-0.001,34.676,34.722,
20170222_145954,smile.classification.NaiveBayes,100.0,0,0,149,0.047,-0.001,33.682,33.728,
20170222_150203,smile.classification.NaiveBayes,100.0,0,0,149,0.047,-0.001,33.901,33.947,
20170222_150654,smile.classification.NaiveBayes,94.66666666666667,0,0,149,0.047,0.0,34.19,34.236999999999995,
20170222_154739,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,20170222_154813,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,0.43333333333333335,0,120,30,0.702,0.203,0.063,0.968,
20170222_154950,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,0.4666666666666667,0,135,15,0.39,0.094,0.016,0.5,
20170222_155013,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,0.4666666666666667,0,135,15,0.359,0.109,0.016,0.484,
20170222_160443,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,0.4666666666666667,0,135,15,0.39,0.094,0.015,0.499,
20170222_160530,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,0.4666666666666667,0,135,15,0.39,0.125,0.0,0.515,
20170222_160817,com.datumbox.framework.core.machinelearning.classification.MultinomialNaiveBayes,0.4666666666666667,0,135,15,0.376,0.102,0.009,0.487,
20170222_161336,com.datumbox.framework.core.machinelearning.classification.BinarizedNaiveBayes,0.13333333333333333,0,135,15,0.381,0.107,0.01,0.498,
20170222_161413,com.datumbox.framework.core.machinelearning.classification.BernoulliNaiveBayes,0.13333333333333333,0,135,15,0.359,0.109,0.016,0.484,
